"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN",196,0.650908205053881,2.95848453840661,1e-10,7.27571428571429e-08,5.94736842105263e-08,2807,"tags=68%, list=20%, signal=55%","Rpl26/Rps3a1/Kpna2/Rps18/Rpl30/Hspa8/Uqcrb/Rps14/Rpl38/Chchd2/Rplp2/Rps8/Rpl37a/Dynlt1b/Tma7/Rps29/Rps21/Eef1g/Cox6b1/Rpl3/Rplp0/Ndufa1/Ldhb/Cox6a1/Rps7/Rpl39/Rpl37/Rpl24/Cox5a/Rpl34/Rpl13a/Cnp/Snrpg/Hmgb1/Rps26/Rpl18/Txn1/Rps27l/Hint1/Rpl27/Rps19/Rpl18a/Rpl31/Hsp90aa1/Eef1b2/Arpc3/Prdx1/Psmc3/Tbca/Anxa2/Atp6v1g1/Rps27/Rpl22l1/Rpl14/Rps15a/Rps2/Rpl11/Pam16/Rps16/Ndufb6/Rpl36/Rpl35/Eif4a1/Rps5/Actb/Rpl27a/Rpl9/Fabp5/Rpl23/Rpl17/Rpl12/Ldha/Rpl22/Rpl13/Rps3/Nudt3/Ctsl/Rpsa/Rps9/Csnk2b/Capzb/Actr3/Stmn1/Mrfap1/Atp5o/Atp5l/Rps6/Pclaf/Rps25/Rps4x/Cks2/Akr1a1/Cwc15/Psme1/Rpl19/Atp5g3/Selenow/Tuba1b/Oaz1/Eif3i/Dcun1d5/H2az1/Hnrnpab/Rps11/Rpl7a/Psma1/Rpl28/Traf4/Rab2a/Ppia/Ywhaz/Rps23/Psma6/Rpl10/Rpl7/Rpl6/Mrpl30/Rpl23a/Cyb5a/Rack1/C1qbp/Hnrnpc/Rbm38/Cct5/Ube2l3/Ran/Tpt1/Smarcd2/Rpl5/Tkt/Cdk2ap1/Atp5c1/Ybx1"
"GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",194,0.609433474842152,2.76290504903356,1e-10,7.27571428571429e-08,5.94736842105263e-08,3312,"tags=70%, list=24%, signal=54%","Rpl26/Rps3a1/Dap/Rps18/Rpl30/Hspa8/S100a6/Uqcrb/Krt7/Isg15/Rps14/Ndufc2/Rpl38/Chchd2/Rplp2/Sem1/Rps8/Rpl37a/Tma7/Uqcrh/Rps29/Rps21/Eef1g/Cox6b1/Rpl3/Prdx5/Grcc10/Hspe1/Rplp0/Ndufa1/Cox6a1/Rps7/Rpl39/Rpl37/Myl6/Rpl24/Abracl/Ndufs5/Cox5a/Rpl34/Rpl13a/Snrpg/Rps26/Rpl18/Map1lc3a/Hint1/Rpl27/Rps19/Rpl18a/Rpl31/Eef1b2/Arpc3/Prdx1/Tbca/Anxa2/Esd/Rps27/Copz1/Rpl22l1/Rpl14/Rps15a/Psmd4/Rps2/Hspa5/Rpl11/Sub1/Rps16/Anp32b/Rpl36/Rpl35/Sod1/Rps5/Actb/Rpl27a/Rpl9/Psmb4/Fabp5/Rpl23/Rpl17/Rpl12/Rpl22/Pdlim1/Rpl13/Rps3/Rpsa/Rps9/Mrfap1/Npc2/Atp5l/Rps6/Rps25/Rps4x/Akr1a1/Psme1/Rpl19/Tuba1b/Oaz1/Brk1/Psmb10/Eif3i/Arf6/Rps11/Rpl7a/Psma1/Rpl28/Ppia/Rps23/Rpl10/Rpl7/Rpl6/Rpl23a/Rack1/Hnrnpc/Ube2l3/Itgb1bp1/Trmt112/Ran/Tpt1/Rpl5/Tkt/Ybx1/Set/Vdac3/Gdi2/Acsl5/Rps10/Cct4/Rexo2/Zbp1/Eif3h/Arpc2/Zfp296/Ifitm2/Morf4l1/Eif3e"
"KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP","KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP","KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_UP",195,0.571069581936957,2.59625725984022,1e-10,7.27571428571429e-08,5.94736842105263e-08,3285,"tags=58%, list=24%, signal=45%","Mns1/Dap/Wdr83os/Pglyrp1/Mrpl27/Etfb/2210016F16Rik/Ybx3/Nudt1/Sem1/Selenoh/Lgals3/Ggh/Dbi/Birc5/Pomp/Banf1/Ubl5/Mrpl41/Timm13/Rpl13a/Cmas/Plac8/Ptgr1/Commd1/Pdcl3/Txn1/Cox6c/Hmgb2/Eef1akmt1/Cib1/Txndc17/Prdx1/Atpif1/Gzmb/Med28/Anxa2/Ndufb5/Ndufb9/Ccdc12/Frg1/Acot7/Nans/Btf3/Cdc34/Ndufb6/Cdk1/Psmb6/Fdps/Cks1b/Psma5/Eif3k/Pmm1/Ndufa8/Ccnb2/Ndufv2/Ldha/Cmc2/Mrpl43/Rpsa/Perp/Htatip2/Ddt/Psma2/Stmn1/Ergic3/Reep5/Tacc3/Ddost/Acot9/Pclaf/Erg28/Washc3/Mrpl42/Rpn1/Tagln2/Aip/Eif3d/Prelid1/Lamtor5/Dhrs1/H13/Srp14/Atp5j/Psmc1/Rnaseh2b/Lamtor1/Mrpl30/Lage3/Kif22/Cndp2/Sugt1/Ncbp1/Cox16/Hk2/Igbp1/Phb2/Usp18/Mycbp/Puf60/Glrx/Lgals3bp/Plp2/Tyms/Psmd8/Acsl5/Lgals9/Ssna1/Ndufa4/Rom1/Atp5pb/Dlgap5/Gstt2"
"GSE45837_WT_VS_GFI1_KO_PDC_DN","GSE45837_WT_VS_GFI1_KO_PDC_DN","GSE45837_WT_VS_GFI1_KO_PDC_DN",195,0.570998978340197,2.59593627426078,1e-10,7.27571428571429e-08,5.94736842105263e-08,3025,"tags=55%, list=22%, signal=44%","Hmgn2/Etfb/Nudt1/Hspb1/Atp5e/Pin4/Polr2f/Gmfg/Uqcrh/Dbi/Ndufs6/Cox6b1/Arf5/Lamtor2/Nme1/Pdcd5/Dpm3/Isg20/Edf1/Ndufa2/Atp5j2/Rps7/Ubl5/Ndufb11/Ethe1/Cox5a/Atp5h/Uqcr11/Nenf/Uqcrq/Dnph1/Psmd9/Drap1/Snrpd2/Mrps16/Ndufs7/Atpif1/Npm3/Tbca/Psmd13/Twf2/Uqcr10/Copz1/Cox8a/Psmd4/Ndufb4/Bst2/Ndufa7/Psmb6/Dynlrb1/Sod1/Eif3k/Zfp428/Cyb561d2/Bccip/Plekhj1/Rps9/Lsm7/Capzb/Ddt/Dap3/Atp5o/Slc35c1/Mrpl23/Eci1/Ndufb8/Cct7/Snrpf/Tradd/Cops6/Tfpt/Mrps11/Psmc5/Erp29/Eif3i/Aamp/Sdhc/Eif3f/Stoml2/Atp5g2/Mpi/Ebna1bp2/Grhpr/Mrpl58/Atp5g1/Xrcc6/Ctdnep1/Hsd17b10/Rpl6/Arl6ip4/Arpc1b/Krt10/Cdc42se1/Pin1/Igbp1/Ran/Ube2k/Mrps34/Phb2/Set/Mrpl40/Decr2/Aup1/Sae1/Mzt2/Zfp637/Snrnp35/Psmd8"
"GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN","GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN","GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN",201,0.559498200847441,2.55771128763118,1e-10,7.27571428571429e-08,5.94736842105263e-08,4200,"tags=63%, list=30%, signal=45%","Rsph3b/Rnps1/Kpna2/Acp1/Mrpl27/Capg/Ybx3/Mrps12/Uqcc2/Selenoh/Dbi/Znhit1/Ube2s/Ube2m/Manf/Rex1bd/Banf1/Ssr2/Coa3/Timm13/Uqcr11/Pdcl3/Dpp3/Prdx2/Mrpl11/Hmgb2/Tmem208/Mrps25/Prdx1/Bsg/Atpif1/Nans/Eif6/Cdc34/Exosc7/Mrpl51/Ndufb7/Phf5a/Psma5/Pdia6/Prdx4/Ndufa8/Timm8b/Mrpl12/Mrps33/Ss18l2/Mrpl13/Dpy30/Htatip2/Ddt/Stmn1/Reep5/Marcksl1/Acot9/Dnajb1/Elof1/Sec13/Nop16/Lsm2/Pold2/Pgd/H2ax/Psma1/Stoml2/Psmd7/Mrpl35/Prelid1/Lsm3/Hspd1/Psma4/Psmc1/Drg1/Gars/Eif2b1/Wdr61/Kif22/Mtch2/Itpa/Psmb7/Pfkl/Prdx3/Hmgn5/Gnpat/Arl1/Phf23/Clpp/Ncaph2/Ube2t/Pkm/Eif2b5/Psmg1/Ssbp1/Nasp/Psma7/Ssna1/Gpn1/Mthfd2/Fdx1/Eif3b/Coq7/Sar1b/Aldoa/Pgk1/Cdc123/Pebp1/Smn1/Asf1a/Cdk4/Rbmxl1/Plrg1/Mad2l1/Litaf/Rsph3a/Ifrd2/Cdc16/Pabpc4/Ruvbl2/Ubfd1/Pgrmc1/Snrnp40/Pdap1/Lonp1/Dtymk/Ubac1/Arl5a/Metap1/Hat1"
"GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_DN","GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_DN","GSE26030_TH1_VS_TH17_RESTIMULATED_DAY15_POST_POLARIZATION_DN",189,0.565375462491038,2.55288642919405,1e-10,7.27571428571429e-08,5.94736842105263e-08,3421,"tags=62%, list=25%, signal=48%","Stk32a/Mrpl27/S100a6/Atox1/Tff3/Rpl38/Bri3/Qsox1/Pin4/Dynlt1b/Rbm8a/Pdyn/Prdx5/Cd177/Ube2s/Nsa2/Capn2/Kcne3/0610012G03Rik/Rpl24/Rpl34/Mrpl34/Dapk3/Snrpg/Nupr1/Hmgb1/Dcxr/Mtarc2/Ndufa11/Cox6b2/Psmd9/Vamp8/Pfdn5/Psme2/Spr/Naa10/Uqcr10/Sec61g/Cox8a/Fau/Btf3/Rpl11/Tubb4b/Ndufa7/Phax/Higd2a/Pmm1/Tex261/Chmp2a/Rpl17/Atp6v1f/Cd8b1/Ssr4/Gstm1/Vps28/Trir/Ncf2/Tmem50a/Tusc2/Fis1/Fam98c/Cope/Rpl32/Zmat5/Psme1/Trnau1ap/Rpl19/Selenok/Tecr/Ptov1/Hsbp1/Lin37/Aip/Sars/Aamp/Polr3gl/Rabac1/Rab2a/Gnb2/Cbwd1/Snrnp27/Edem2/Iscu/Mob2/Use1/Slc35b2/Rpl23a/Nxt1/Rnf5/BC005624/Uqcrfs1/Cdk5/Ifngr1/Psmb7/Samd1/Ppp1r1a/C330018D20Rik/Dusp7/Med8/Ptrhd1/Polr2e/Rrp7a/Eif4a3/Nr1h3/Supt4a/Mbd3/Thyn1/Psmd8/Sigmar1/Acaa2/Sri/Hrob/Tmem134/Sdhd/Rnf130/Adprm/Casp8/Stub1"
"GSE14000_TRANSLATED_RNA_VS_MRNA_DC_DN","GSE14000_TRANSLATED_RNA_VS_MRNA_DC_DN","GSE14000_TRANSLATED_RNA_VS_MRNA_DC_DN",160,0.571749132827401,2.51650068027175,1e-10,7.27571428571429e-08,5.94736842105263e-08,3699,"tags=64%, list=27%, signal=48%","Rpl26/Rpl21/Dap/Ptpro/Rps18/Rpl30/Cisd3/Dusp23/Rps14/Rplp1/Bri3/Cox20/Rplp2/Atp5e/Ndufb10/Guk1/Pdcd5/Rplp0/Rps12/Ndufaf3/Cela1/Rps13/Rpl13a/Ift20/Mettl26/Rpl18/Eef1b2/Tmem141/Naxe/Gde1/Pop7/Rps15a/Rpl11/Sys1/Rpl36/Rpl35/Rpl8/Rps5/Cideb/Eef1d/Ost4/Surf1/Arpc1a/Sdf2l1/Rpl23/Tmem147/Rpl17/Rpl12/Uqcc3/Rps3/Smim20/Rpsa/Jtb/Snx3/Rps6/Gng5/Rpl32/Rps25/Kdelr2/Rpl19/Naa38/Rwdd1/Chst8/Rps11/Gpx4/Pigyl/Cdc42ep5/Bid/Lsm10/Rnf7/Rpl10/Adap1/Ctdnep1/Mapk11/Lamtor1/Lsm12/Rpl23a/Rack1/Tmem219/Bcl7c/Tmem222/Igbp1/Ybx1/Smim12/Zfp637/Arl2bp/Ssna1/Tbpl1/Rps10/Nop53/Ypel3/Tmem134/Eif3l/Trappc3/Ccnq/Zfp688/Uros/Tlcd3b/Hikeshi/Ssu72/Zfyve21/Proser3/Ap5s1"
"GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN","GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN","GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN",198,0.514114540333695,2.34128218595737,1.29630543409004e-10,8.25260446977573e-08,6.74590525240279e-08,3401,"tags=52%, list=25%, signal=39%","Rsph3b/Acp1/Mrps12/Arl3/Uqcc2/Hddc2/Dbi/Znhit1/Ube2s/Ube2m/Ssr2/Ndufs5/Timm13/Tmem97/Dpp3/Rer1/Ebp/Dnph1/Prdx2/Mrpl11/Eef1akmt1/Tmem208/Pck2/Bsg/Atpif1/Cisd1/Cebpzos/Eif6/Cdc34/Blmh/Exosc7/Ndufb7/Mrpl17/Pdia6/Ndufa8/Timm8b/Mrpl12/Mrps33/Mrps7/Mrpl44/Ss18l2/Mrpl13/Aurka/Dpy30/Gtf2h4/Mrpl36/Marcksl1/Ndufb8/Snrpc/Mrpl20/Erg28/Rsl24d1/Elof1/Mrps11/Rpn1/Lsm2/Dtd2/Pgd/Plscr1/Stoml2/Psmd7/Mrpl35/Prelid1/Tomm40/Psmc1/Cct3/Drg1/Mrps31/Gars/Wdr61/Kif22/Mtch2/Mrpl38/Itpa/Pfkl/Hmgn5/Gcsh/Clpp/Tars/Ddx1/Ncaph2/Snrpa/Eif2b5/Ak2/Psmg1/Orc6/Enoph1/Alas1/Hax1/Ssna1/Hmgcr/Mthfd2/Polr3k/Tfam/Fdx1/Coq7/Fxn/Ckap2/Pebp1/Gusb/B3gnt2/Adprm"
"GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_UP","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_UP","GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_UP",183,0.523552677058014,2.3719422413349,2.82562622122739e-10,1.12118563435126e-07,9.16487890264084e-08,2985,"tags=51%, list=22%, signal=40%","Mtmr7/Sfn/Sh3bgrl3/Scand1/Etfb/Romo1/Tmem160/Hddc2/Ufc1/Ndufs6/Ube2c/Birc5/Anapc13/Fam162a/Banf1/0610012G03Rik/Rpl24/Ndufb11/Cox7a2/Mrps35/Nr2c2ap/Commd1/Cstb/Dcxr/Zfp622/Txn1/Dad1/Mrps28/Gale/Cox6c/Mrpl11/Jpt1/Nelfe/Serpinb1a/Mpc1/Ndufv3/Dut/Tbcb/Cdc34/Taf9/Mrps18c/Maff/Efhd2/Prdx4/Rab6b/Mrpl12/Ldha/Ctsl/Aurka/Ppp2r1a/Utp3/Sap18/Psmb2/Marcksl1/Npc2/Mrpl23/Bag3/Mrpl57/Ing2/Ndufb8/Cks2/Cops6/Bscl2/1810058I24Rik/Mcrip2/Atp5g2/Mid1ip1/Vdac1/Syce2/Pradc1/Tceanc2/Atp5j/Cryl1/Pdlim4/Pmvk/Cndp2/Hpf1/Pink1/Ube2l3/Klhdc2/Ptrhd1/Marcks/Hadh/Cmpk1/Ptpmt1/Bin3/Cdk2ap1/Brix1/Commd4/Rbbp8/Orc6/Capza2/Faf1"
"GSE14699_DELETIONAL_TOLERANCE_VS_ACTIVATED_CD8_TCELL_DN","GSE14699_DELETIONAL_TOLERANCE_VS_ACTIVATED_CD8_TCELL_DN","GSE14699_DELETIONAL_TOLERANCE_VS_ACTIVATED_CD8_TCELL_DN",173,0.527663682683617,2.36009366789603,2.82562622122739e-10,1.12118563435126e-07,9.16487890264084e-08,3210,"tags=53%, list=23%, signal=41%","Pnp2/Myl4/Ndufaf2/Acp1/1810037I17Rik/Hmgn2/H2bc4/Etfb/Ybx3/Fkbp2/Nudt1/Ggh/Dbi/Ufc1/Creld2/Ndufs6/Ube2s/Nme1/Tceal9/Plac8/Emp1/Hopx/Insl6/Sf3b6/Micos10/Pycard/Txndc17/Cisd1/Acot7/Bspry/Tbcb/Ppa1/Tubb4b/Erh/Tmbim4/Psma5/Pmm1/Panx1/Aurka/Alyref/Ranbp1/Psmb2/Timm17a/Tex30/Ddost/Bub3/Il1b/Erg28/Smim3/Mrpl42/Calm1/Ccdc34/Lsm2/Snrpa1/Psma1/Prelid1/Lsm3/Ube2n/Selenos/Syce2/Mrpl18/Pbk/Lsm12/Clic1/Cops5/Cdkn1a/Akip1/Kif22/Ifngr1/Mphosph6/Fam136a/Ran/Anxa1/Anxa4/Mdh2/Cdk2ap1/Bex3/Carhsp1/Rpa2/Taf12/Sypl/Glrx/Orc6/Vdac3/Psmd8/Fcgrt/Timm23/Polr3k/Phf11b/Hprt/Calm3/Commd3"
"QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DYAT_1DY_NEGATIVE","QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DYAT_1DY_NEGATIVE","QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DYAT_1DY_NEGATIVE",172,0.522254671497679,2.33347010343283,2.74165981493645e-10,1.12118563435126e-07,9.16487890264084e-08,2225,"tags=47%, list=16%, signal=40%","Rpl26/Rps3a1/Gzma/Tdrd1/Dusp23/1810037I17Rik/Tmem238/Tmem160/Gdpd1/Tma7/Vps25/Rps29/Tomm7/Tmem256/Tomm22/Mthfs/Ndufa12/Rhoc/Trim38/Grcc10/Ndufa13/Mrpl41/Ndufs5/Mettl26/Sf3b5/Atp5h/Rps26/Rps27l/Rps27a/Drap1/Snrpd2/Cuta/Rpl27/Rpl18a/Pycard/Eef1b2/Txndc17/Prdx1/Micos13/Trappc4/Ndufb5/Bola2/Rps27/Uqcr10/Rps17/Fau/Rpl14/Rpl11/Cox7b/Mrpl51/Rpl36/Rpl35/Erh/Dynlrb1/Rps5/Eef1d/Trappc1/Gtf2e2/Mrpl14/Maff/Rpl23/Rpl17/Mrps33/Ss18l2/Htatip2/Trir/Mrpl54/Gng11/Psmb1/Mrpl20/Cdk2ap2/Smim26/Eif3m/Mif/Commd6/Naa20/Cd8a/Apeh/U2af1/Atp5j/Tufm"
"GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN","GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN","GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN",195,0.512802346780789,2.33135655934779,2.86185219842261e-10,1.12118563435126e-07,9.16487890264084e-08,4039,"tags=58%, list=29%, signal=42%","Acy1/Atp6v0c/Polr1d/Alg8/Atp5e/Sec61b/Cnih4/Gpatch4/Dbi/Tmem256/Nme1/Hspe1/Pmp22/Ubl5/Uqcrq/Hint1/Nelfe/Timm17b/Hnrnpa0/Prdx1/Dut/Uqcr10/Mrpl22/Bspry/Cdc34/Nhp2/Sub1/Blmh/Ndufb7/Erh/Lypla2/Fcf1/Pmm1/Dnajc15/Tmem147/Ndufa8/Pgls/Eif3g/Rbks/Tmem51/Gfus/Srm/Mrpl36/Mrpl23/Apip/Cct7/Naa38/Fdft1/Ptov1/Eif3i/Acads/Sdhc/Snrpa1/Mrps26/Spryd4/Cenph/Ppia/Zmynd19/Map2k3/Psma4/Cyp51/Lsm12/Cdkn1a/Ndufv1/Ciao2b/Lage3/Slc25a10/Cndp2/Fbxl15/Gatad1/Ctu2/Pin1/Gcsh/Phf23/Clpp/Eif5b/Hmbs/Pdzd11/Mnat1/Clns1a/Mdh2/Cdk2ap1/Grpel1/Phb2/Ybx1/Rpl7l1/Faf1/Mbd3/Ntmt1/Bzw2/Fdx1/Bop1/Gfod2/Eif3b/Metap2/Nqo1/Txnl1/Rfc4/Prdx6/Fbxo6/Bckdk/Mrpl37/Dnlz/Rbmxl1/Urod/Nudt2/Npm1/Ifrd2/Pabpc4/Sqle/Wdhd1/Tbc1d7/Rab7/Pcna"
"GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN","GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN","GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN",186,0.509656335757977,2.30444708858257,2.74648172531664e-10,1.12118563435126e-07,9.16487890264084e-08,3632,"tags=57%, list=26%, signal=43%","Rpl26/Ubc/Rps3a1/Gzma/Rps18/Atox1/Rps14/Rplp1/Rpl38/Chchd2/Rps8/Rpl37a/Sec61b/Rps29/Rpl3/Rplp0/Atp5j2/Hsp90ab1/Cox6a1/Rps7/Rpl24/Cox7a2/Cox5a/Rpl34/Hmgb1/Rps26/Uqcr11/Rpl18/Eno1/Cox6c/Rpl36a/Rpl27/Rpl31/Hsp90aa1/Gzmb/Ndufb5/Fau/Rps15a/Rpl11/Rps16/Phax/Rpl35/Cks1b/Ngdn/Eif4a1/Rps5/Cfl1/Rpl27a/Rpl9/Rpl23/Rpl17/Rpl12/Ldha/Rpl22/Rpl13/Rps3/Mrpl43/Rpsa/Csnk2b/Bub3/Rps6/Rps4x/Zfyve19/Rpl19/Tuba1b/Alg9/Arf6/Rps11/Tmem45a/Mif/Cd8a/P2rx4/Ppia/Rps23/Rpl10/Ubac2/Rpl6/Rpl23a/Rack1/Hnrnpc/Rnf187/Hk2/Tpt1/Smarcd2/Rpl5/Pkm/Ybx1/Ssbp1/Rps10/Polr3k/Vta1/Atp5pb/Arpc2/Ppp1ca/Dhrs3/Morf4l1/Eif3e/Pgk1/Arl4a/Pebp1/Srp19/Arf1/Eif4h/Eno3/Actg1/Rpn2"
"GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_UP","GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_UP","GSE7509_UNSTIM_VS_FCGRIIB_STIM_MONOCYTE_UP",156,0.544040068883308,2.38785839042081,7.89577989989142e-10,2.87237193072479e-07,2.34795560180982e-07,3341,"tags=63%, list=24%, signal=48%","Polr1d/Mrpl52/Ndufb10/Tomm22/Pdcd5/Agr2/Isg20/Hsp90ab1/BC031181/Gamt/Prdx2/Tspo/Cib1/Gde1/Ap1s1/Gstm5/Llph/Uxt/Lamtor3/Atp6v1e1/Atp5md/Eif4a1/Sarnp/Ogfr/Gabarap/Sdf2l1/Tlcd3a/Sec11a/Mrps33/Hagh/Eif3g/Ctsl/Srm/Psma2/Nudt14/Me1/Hdgf/Nrg1/Fuca1/Cct7/Snrpc/Ube2a/Psmb10/Fdft1/Nop16/Pigx/Acot13/Aip/Cdc42ep5/Eif3d/Eif3f/Commd6/Bag1/Lsm3/Ndufa9/Rabac1/Mrpl46/Chchd4/Sumo3/Hspd1/Skp1/Tufm/Mfsd2a/Cct3/Hsd17b10/Mapk11/Cops5/Pkig/Wdr61/Rab11b/Mrpl38/Pon3/Trmt112/Pgap2/Phgdh/Hacd2/Gabarapl2/Rras/Ncaph2/Msrb1/Cdk2ap1/Mrpl39/Ppp1r11/Cd151/Timp1/Actr10/Prkag1/Alas1/Nifk/Gdi2/Cript/Tmem109/Hprt/Vta1/Tcp1/Calm2/Pigp/Pgk1"
"GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN","GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN","GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN",197,0.499099886754464,2.26746168026934,1.217389631335e-09,4.1334435949261e-07,3.37879016977539e-07,4179,"tags=55%, list=30%, signal=39%","Kpna2/Psmb5/S100a6/Capg/Arl3/Selenoh/Phb/Znhit1/Ube2s/Ube2m/Ssr2/Coa3/Ndufs5/Timm13/Uqcr11/Dpp3/Rer1/Prdx2/Hopx/Mrpl11/Nelfe/Timm17b/Bsg/Atpif1/Nhp2/Ppa1/Exosc7/Tmem223/Gtf2e2/Pdia6/Pmm1/Prdx4/Ndufa8/Mrps7/Mrpl44/Dpy30/Htatip2/Ddt/Mrpl36/Marcksl1/Erg28/Nop16/Lsm2/Pold2/Plscr1/Psma1/Prelid1/Lamtor5/Tomm40/Blvra/Nek2/Thop1/Cops5/Drg1/A430005L14Rik/Wdr61/Mtch2/Itpa/Pfkl/Hpf1/Ube2l3/Pcyt2/Lsm1/Gnpat/Arl1/Gcsh/Mogs/Tars/Mtx2/Ddx1/Rpf2/Eif2b5/Ccnd3/Mzt2/Ssbp1/Alas1/Nasp/Bnip1/Ssna1/Hmgcr/Mthfd2/Mrps10/Ncbp2/Timm8a1/Coq7/Sar1b/Fxn/Aldoa/Gusb/Rnft1/Cct6a/Polr2i/Vps29/Rbmxl1/Mt1/Plrg1/Taf11/Mad2l1/Ifrd2/Cdc16/Sqle/Ruvbl2/Pgrmc1/Snrnp40/Pdap1/Lonp1/Cdca4/Lmnb1/Nup85"
"GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN","GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN","GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN",194,0.500979738271254,2.27122320232191,1.34180896770668e-09,4.27114567033134e-07,3.49135162321048e-07,3999,"tags=55%, list=29%, signal=39%","Pnp2/Pop4/Atox1/Chchd2/Ggh/Uqcrh/Ndufb3/Ube2s/Higd1a/Stip1/Ndufaf3/Gpr19/Cox6a1/Kctd5/Cmas/Snrpd1/Lsm4/Hmgb2/Galk1/Hspb11/Prdx1/Snrpe/Park7/Acot7/Cox8a/Mrpl22/Wrap53/Bcl2l1/Cks1b/Mrpl17/Ccnb2/Psmb3/Mrpl13/Htatip2/Ccdc51/Ggct/Snrpd3/Msmo1/Snrpb/Atg101/Eny2/Eif3i/Myl6b/H2az1/Snrpa1/H2ax/Psma1/Mrpl35/Slirp/Tpi1/Lsm3/Gmnn/Ppia/U2af1/Psma6/Mrpl58/Mrpl18/Psma4/Ndufs3/P4ha2/Fkbpl/Ndufv1/Gars/Ciao2b/Mtch2/Ctnnal1/Prdx3/Gnpat/Psmd14/Polr2e/Hmbs/Med7/Mnat1/Sdc4/Eif2b2/Tbc1d10b/Orc6/Rad51/Rtcb/Thyn1/Psmd8/Macir/Mthfd2/Atp5pb/Mpdu1/Psmc2/Eif2s1/Slc35f2/Mcat/Glrx2/Asf1a/Psmd2/Pkmyt1/Ywhae/Psmg2/Arntl2/Rit1/Cyc1/Smtn/Arpc5/Mt1/Hnrnpa2b1/Golt1b/Rfc3/Ruvbl2/Etfa"
